grupo,metrica,n,media,mediana,desvio_padrao,min,p25,p75,p95,max,iqr
TODOS,changed_files,14347,9.5765,2.0,101.7479,0.0,1.0,5.0,23.0,7264.0,4.0
TODOS,additions,14347,1136.9618,22.0,34259.3073,0.0,3.0,121.0,1237.1,2901110.0,118.0
TODOS,deletions,14347,199.2176,3.0,2808.9584,0.0,1.0,21.0,318.0,141843.0,20.0
TODOS,loc_total,14347,1336.1794,33.0,34531.8846,0.0,5.0,165.0,1705.4,2901110.0,160.0
TODOS,tempo_analise_horas,14347,2068.9087,74.3022,6814.6688,1.0003,13.2758,651.7451,11818.0499,92293.5878,638.4693
TODOS,descricao_tamanho_chars,14347,1569.4183,742.0,3697.7547,0.0,170.0,1746.0,5124.4,82171.0,1576.0
TODOS,num_participantes,14347,3.182,3.0,4.6729,0.0,2.0,3.0,6.0,277.0,1.0
TODOS,total_comentarios,14347,3.2927,2.0,9.7533,0.0,0.0,4.0,11.0,589.0,4.0
TODOS,numero_reviews,14347,3.4105,1.0,11.5958,1.0,1.0,3.0,10.0,905.0,2.0
