tecnologia,tempo_ms,tamanho_bytes
REST,0.677100,323
GraphQL,0.904800,53
REST,0.685800,330
GraphQL,0.859200,56
REST,0.819800,326
GraphQL,1.011800,54
REST,0.700000,325
GraphQL,0.906400,53
REST,0.677600,324
GraphQL,0.863000,52
REST,0.649100,320
GraphQL,0.933200,53
REST,0.757400,333
GraphQL,0.950900,58
REST,0.694700,333
GraphQL,0.913800,58
REST,0.752200,329
GraphQL,0.861300,56
REST,0.700800,331
GraphQL,0.856700,57
REST,0.849900,332
GraphQL,1.099400,57
REST,0.703000,326
GraphQL,0.907600,53
REST,0.658900,325
GraphQL,0.884700,51
REST,0.673700,325
GraphQL,0.854500,53
REST,0.847100,326
GraphQL,1.002200,55
REST,0.683200,323
GraphQL,0.875900,53
REST,0.744300,328
GraphQL,0.871400,56
REST,0.740500,327
GraphQL,0.909500,52
REST,1.013600,327
GraphQL,1.273900,56
REST,0.786700,328
GraphQL,1.095900,54
REST,0.706200,325
GraphQL,1.290600,53
REST,0.746500,328
GraphQL,1.451100,54
REST,0.963100,320
GraphQL,1.071400,52
REST,0.791000,332
GraphQL,1.008000,57
REST,0.773300,324
GraphQL,1.134300,53
REST,0.786200,333
GraphQL,1.162400,58
REST,0.904400,327
GraphQL,1.069700,54
REST,0.704100,327
GraphQL,0.920500,54
REST,0.704900,325
GraphQL,1.209200,51
REST,0.883200,325
GraphQL,1.050600,51
REST,0.816800,327
GraphQL,1.045600,52
REST,0.705400,330
GraphQL,0.995900,56
REST,0.911500,329
GraphQL,1.186500,56
REST,0.925400,329
GraphQL,1.104000,57
REST,0.787700,326
GraphQL,1.034000,54
REST,0.828900,330
GraphQL,1.225700,56
REST,0.979800,329
GraphQL,1.337300,55
REST,0.840400,325
GraphQL,0.957900,52
REST,0.712900,324
GraphQL,1.265800,52
REST,0.885000,321
GraphQL,1.257500,50
REST,0.764200,330
GraphQL,0.949500,56
REST,0.701500,329
GraphQL,0.928100,57
REST,0.789200,327
GraphQL,1.275600,54
REST,0.958600,327
GraphQL,1.094600,56
REST,0.736600,325
GraphQL,1.061800,51
REST,0.736200,327
GraphQL,1.033900,52
REST,0.954500,331
GraphQL,1.475200,57
REST,0.941600,326
GraphQL,1.144700,57
REST,0.739000,325
GraphQL,0.945800,53
REST,0.849000,322
GraphQL,1.235800,53
REST,0.929100,325
GraphQL,1.197300,53
REST,0.764300,326
GraphQL,1.025100,54
REST,0.781900,329
GraphQL,1.364500,56
REST,0.965300,325
GraphQL,1.229300,53
REST,0.852600,325
GraphQL,0.980400,55
REST,0.716100,326
GraphQL,1.106300,54
REST,1.019600,329
GraphQL,1.250100,57
REST,0.951100,325
GraphQL,1.283300,55
REST,0.886600,330
GraphQL,1.159600,56
REST,0.934100,326
GraphQL,1.262500,54
REST,0.763100,326
GraphQL,1.065900,57
REST,0.700800,325
GraphQL,1.052800,51
REST,0.820800,327
GraphQL,1.323600,54
REST,1.002000,326
GraphQL,1.008400,55
REST,0.741700,329
GraphQL,0.979800,56
REST,0.729600,326
GraphQL,0.953500,55
REST,0.877500,322
GraphQL,1.143300,53
REST,0.851100,326
GraphQL,1.013800,55
REST,0.701800,325
GraphQL,0.994600,52
REST,0.697100,322
GraphQL,1.133600,53
REST,0.879000,324
GraphQL,1.103900,52
REST,0.756900,325
GraphQL,0.912300,52
REST,0.710700,322
GraphQL,1.021600,53
REST,0.793100,325
GraphQL,1.252500,53
REST,0.828800,325
GraphQL,1.072200,51
REST,0.812900,326
GraphQL,0.996500,54
REST,0.721400,333
GraphQL,0.959500,58
REST,0.837700,329
GraphQL,1.042600,56
REST,0.725200,322
GraphQL,1.012200,53
REST,0.701700,327
GraphQL,0.928100,55
REST,0.686300,327
GraphQL,1.115100,59
REST,0.812200,325
GraphQL,1.084100,57
REST,0.817100,325
GraphQL,0.910300,51
REST,0.679900,330
GraphQL,0.893100,57
REST,0.675500,326
GraphQL,1.182700,54
REST,0.765100,325
GraphQL,0.914100,53
REST,0.690900,326
GraphQL,0.928300,57
REST,0.667500,327
GraphQL,0.880700,54
REST,0.653300,325
GraphQL,1.083000,55
REST,0.832100,325
GraphQL,1.034600,57
REST,0.849500,330
GraphQL,1.007100,56
REST,0.708600,322
GraphQL,0.935600,53
REST,0.793700,330
GraphQL,0.974300,53
REST,0.722700,326
GraphQL,1.058700,54
REST,0.700900,328
GraphQL,0.885600,54
REST,0.656300,328
GraphQL,0.845500,56
REST,0.783800,325
GraphQL,1.127300,53
