url,criado_em,atualizado_em,dias_desde_ultimo_push,dono,estrelas,idade_anos,idade_dias,nome_completo,nome_repo
https://github.com/langchain-ai/langchain,2022-10-17T02:58:36Z,2026-04-30T19:17:45Z,0,langchain-ai,135494,3.5346,1291,langchain-ai/langchain,langchain
https://github.com/open-webui/open-webui,2023-10-06T22:08:27Z,2026-04-24T10:07:14Z,6,open-webui,134967,2.5626,936,open-webui/open-webui,open-webui
https://github.com/golang/go,2014-08-19T04:33:40Z,2026-04-30T15:15:26Z,0,golang,133695,11.6961,4272,golang/go,go
https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2026-02-28T10:07:31Z,61,labuladong,133374,6.193,2262,labuladong/fucking-algorithm,fucking-algorithm
https://github.com/microsoft/PowerToys,2019-05-01T17:44:02Z,2026-04-30T16:29:19Z,0,microsoft,132614,6.9979,2556,microsoft/PowerToys,PowerToys
https://github.com/Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2026-04-21T22:12:54Z,8,Chalarangelo,127635,8.4162,3074,Chalarangelo/30-seconds-of-code,30-seconds-of-code
https://github.com/anthropics/skills,2025-09-22T15:53:31Z,2026-04-23T17:07:20Z,7,anthropics,126561,0.6023,220,anthropics/skills,skills
https://github.com/NousResearch/hermes-agent,2025-07-22T22:22:28Z,2026-04-30T19:09:23Z,0,NousResearch,126546,0.7693,281,NousResearch/hermes-agent,hermes-agent
https://github.com/krahets/hello-algo,2022-11-04T11:08:34Z,2026-04-18T18:23:33Z,12,krahets,125784,3.4853,1273,krahets/hello-algo,hello-algo
https://github.com/facebook/react-native,2015-01-09T18:10:16Z,2026-04-30T19:03:41Z,0,facebook,125735,11.3046,4129,facebook/react-native,react-native
https://github.com/excalidraw/excalidraw,2020-01-02T01:04:43Z,2026-04-30T11:54:18Z,0,excalidraw,122280,6.3244,2310,excalidraw/excalidraw,excalidraw
https://github.com/kubernetes/kubernetes,2014-06-06T22:56:04Z,2026-04-30T18:27:34Z,0,kubernetes,122007,11.896,4345,kubernetes/kubernetes,kubernetes
https://github.com/electron/electron,2013-04-12T01:47:36Z,2026-04-30T19:03:23Z,0,electron,121085,13.0486,4766,electron/electron,electron
https://github.com/ripienaar/free-for-dev,2015-03-18T21:06:26Z,2026-04-30T08:49:46Z,0,ripienaar,121042,11.1157,4060,ripienaar/free-for-dev,free-for-dev
https://github.com/anthropics/claude-code,2025-02-22T17:41:21Z,2026-04-29T03:29:13Z,1,anthropics,119482,1.1828,432,anthropics/claude-code,claude-code
https://github.com/microsoft/markitdown,2024-11-13T19:56:40Z,2026-04-20T17:52:20Z,10,microsoft,118964,1.4565,532,microsoft/markitdown,markitdown
https://github.com/nodejs/node,2014-11-26T19:57:11Z,2026-04-30T16:52:48Z,0,nodejs,116989,11.4223,4172,nodejs/node,node
https://github.com/justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2024-07-15T08:55:20Z,654,justjavac,116801,12.4846,4560,justjavac/free-programming-books-zh_CN,free-programming-books-zh_CN
https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,2026-04-30T17:06:21Z,0,iptv-org,115638,7.4552,2723,iptv-org/iptv,iptv
https://github.com/clash-verge-rev/clash-verge-rev,2023-11-21T18:24:03Z,2026-04-30T18:55:02Z,0,clash-verge-rev,114948,2.4394,891,clash-verge-rev/clash-verge-rev,clash-verge-rev
https://github.com/firecrawl/firecrawl,2024-04-15T21:02:29Z,2026-04-30T19:07:08Z,0,firecrawl,113356,2.037,744,firecrawl/firecrawl,firecrawl
https://github.com/shadcn-ui/ui,2023-01-04T12:43:27Z,2026-04-30T13:02:03Z,0,shadcn-ui,113285,3.3183,1212,shadcn-ui/ui,ui
https://github.com/rustdesk/rustdesk,2020-09-28T15:36:08Z,2026-04-30T13:44:05Z,0,rustdesk,113233,5.5852,2040,rustdesk/rustdesk,rustdesk
https://github.com/d3/d3,2010-09-27T17:22:42Z,2025-12-02T17:48:19Z,149,d3,112816,15.5893,5694,d3/d3,d3
https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,2026-04-30T18:04:28Z,0,rust-lang,112450,15.8686,5796,rust-lang/rust,rust
https://github.com/mrdoob/three.js,2010-03-23T18:58:01Z,2026-04-30T14:34:03Z,0,mrdoob,112262,16.104,5882,mrdoob/three.js,three.js
https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2026-04-24T14:00:36Z,6,Hack-with-Github,111332,10.0835,3683,Hack-with-Github/Awesome-Hacking,Awesome-Hacking
https://github.com/Comfy-Org/ComfyUI,2023-01-17T03:15:56Z,2026-04-30T18:49:51Z,0,Comfy-Org,110801,3.2827,1199,Comfy-Org/ComfyUI,ComfyUI
https://github.com/godotengine/godot,2014-01-04T16:05:36Z,2026-04-30T16:00:48Z,0,godotengine,110147,12.3176,4499,godotengine/godot,godot
https://github.com/microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2026-04-30T09:47:28Z,0,microsoft,110046,2.8638,1046,microsoft/generative-ai-for-beginners,generative-ai-for-beginners
https://github.com/axios/axios,2014-08-18T22:30:27Z,2026-04-30T18:19:14Z,0,axios,109037,11.6961,4272,axios/axios,axios
https://github.com/microsoft/TypeScript,2014-06-17T15:28:39Z,2026-04-27T19:32:49Z,2,microsoft,108705,11.8686,4335,microsoft/TypeScript,TypeScript
https://github.com/Shubhamsaboo/awesome-llm-apps,2024-04-29T05:30:25Z,2026-04-27T04:26:23Z,3,Shubhamsaboo,108200,2.0014,731,Shubhamsaboo/awesome-llm-apps,awesome-llm-apps
https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2024-10-12T06:51:36Z,565,GrowingGit,107766,6.6502,2429,GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts
https://github.com/ggml-org/llama.cpp,2023-03-10T18:58:00Z,2026-04-30T18:08:05Z,0,ggml-org,107604,3.1403,1147,ggml-org/llama.cpp,llama.cpp
https://github.com/denoland/deno,2018-05-15T01:34:26Z,2026-04-30T19:09:55Z,0,denoland,106570,7.9589,2907,denoland/deno,deno
https://github.com/fatedier/frp,2015-12-21T15:24:59Z,2026-04-27T10:28:22Z,3,fatedier,106195,10.3573,3783,fatedier/frp,frp
https://github.com/tauri-apps/tauri,2019-07-13T09:09:37Z,2026-04-30T16:36:38Z,0,tauri-apps,106052,6.7981,2483,tauri-apps/tauri,tauri
https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2026-03-26T09:31:12Z,35,papers-we-love,105733,12.3723,4519,papers-we-love/papers-we-love,papers-we-love
