tecnologia,tempo_ms,tamanho_bytes
REST,1.728264,329
GraphQL,1.775821,57
REST,1.467967,330
GraphQL,2.421270,53
REST,1.671286,324
GraphQL,2.316870,52
REST,1.297602,325
GraphQL,2.174527,53
REST,1.589379,328
GraphQL,2.525681,56
REST,1.454516,332
GraphQL,2.133580,57
REST,1.235753,328
GraphQL,1.522511,54
REST,1.639760,325
GraphQL,1.689761,55
REST,1.349371,330
GraphQL,2.135919,56
REST,1.318810,329
GraphQL,1.977573,56
REST,1.176812,326
GraphQL,1.635838,53
REST,1.352356,328
GraphQL,1.396812,54
REST,1.204313,325
GraphQL,1.649670,55
REST,0.965881,328
GraphQL,1.897346,56
REST,1.113391,329
GraphQL,1.760146,57
REST,1.377275,325
GraphQL,1.756344,55
REST,0.973059,326
GraphQL,1.672101,53
REST,1.178532,330
GraphQL,1.210615,56
REST,0.958242,326
GraphQL,2.336533,54
REST,1.178749,326
GraphQL,2.071713,55
REST,1.264551,326
GraphQL,1.293153,57
REST,1.085273,327
GraphQL,1.259038,55
REST,1.087374,327
GraphQL,1.187860,59
REST,0.794735,325
GraphQL,1.267223,52
REST,1.329460,326
GraphQL,1.488812,55
REST,1.055056,330
GraphQL,1.544118,56
REST,0.918162,326
GraphQL,1.203661,57
REST,1.079153,326
GraphQL,1.479182,53
REST,0.851879,324
GraphQL,1.648703,52
REST,0.937808,328
GraphQL,1.512272,53
REST,1.387253,331
GraphQL,1.607792,57
REST,1.082360,327
GraphQL,1.545342,54
REST,0.976608,325
GraphQL,1.345143,55
REST,1.080789,322
GraphQL,1.278385,53
REST,0.823294,333
GraphQL,1.755036,58
REST,1.138654,325
GraphQL,2.046533,55
REST,1.454431,333
GraphQL,2.459341,58
REST,1.522641,328
GraphQL,5.628903,56
REST,1.901410,325
GraphQL,4.282840,51
REST,1.768181,327
GraphQL,2.005594,52
REST,0.969003,328
GraphQL,1.666717,56
REST,0.949004,327
GraphQL,1.296192,53
REST,0.800090,326
GraphQL,1.411690,54
REST,0.904370,324
GraphQL,1.157926,53
REST,1.047601,325
GraphQL,1.304949,57
REST,0.811068,325
GraphQL,1.348900,52
REST,0.943003,327
GraphQL,1.322138,52
REST,0.867068,324
GraphQL,1.560118,55
REST,0.898077,329
GraphQL,1.378796,56
REST,1.173113,327
GraphQL,1.758979,59
REST,1.199074,330
GraphQL,2.104478,57
REST,1.592104,329
GraphQL,2.406432,57
REST,1.070507,328
GraphQL,1.318847,53
REST,1.172142,325
GraphQL,1.345574,52
REST,0.825321,326
GraphQL,2.243961,55
REST,1.250242,324
GraphQL,1.793620,55
REST,1.236650,320
GraphQL,1.556406,52
REST,1.539999,330
GraphQL,1.481688,53
REST,1.228629,329
GraphQL,1.444300,56
REST,1.014040,327
GraphQL,1.879785,54
REST,1.088562,326
GraphQL,1.191739,54
REST,1.070977,325
GraphQL,1.445830,55
REST,1.052793,328
GraphQL,1.618800,55
REST,1.296970,328
GraphQL,1.361978,54
REST,1.080105,328
GraphQL,1.519678,53
REST,1.523112,328
GraphQL,2.346596,55
REST,1.331415,330
GraphQL,1.999334,56
REST,1.697049,322
GraphQL,2.529326,53
REST,1.346274,325
GraphQL,1.276300,53
REST,1.164862,325
GraphQL,1.877652,55
REST,1.225523,329
GraphQL,2.100014,57
REST,1.371260,325
GraphQL,1.886177,55
REST,1.323265,326
GraphQL,2.586126,54
REST,1.567132,320
GraphQL,1.873343,53
REST,1.684421,329
GraphQL,2.049606,55
REST,1.627261,329
GraphQL,2.220987,57
REST,1.735469,327
GraphQL,2.654576,56
REST,3.244460,330
GraphQL,2.674425,57
REST,1.206182,325
GraphQL,1.518934,52
REST,1.450303,324
GraphQL,1.599949,53
REST,1.339792,327
GraphQL,2.105617,54
REST,1.188153,322
GraphQL,1.932676,53
REST,1.277002,329
GraphQL,1.592525,57
REST,1.545320,322
GraphQL,1.880756,53
REST,2.301110,321
GraphQL,2.087601,50
REST,1.128148,330
GraphQL,2.287714,57
REST,1.089267,325
GraphQL,2.400326,51
REST,1.400933,326
GraphQL,2.527717,54
REST,1.767750,328
GraphQL,2.468488,55
REST,1.638003,325
GraphQL,1.987100,57
REST,1.394436,331
GraphQL,1.573684,57
REST,1.290929,320
GraphQL,1.956255,53
REST,1.090370,326
GraphQL,1.708006,54
REST,1.322724,332
GraphQL,1.565635,57
REST,1.267995,326
GraphQL,1.596012,55
REST,0.924888,327
GraphQL,1.587556,55
REST,0.843737,326
GraphQL,1.302601,55
REST,1.154743,327
GraphQL,1.563689,56
REST,1.008399,327
GraphQL,1.521058,55
REST,1.150270,327
GraphQL,1.563656,55
REST,1.203391,327
GraphQL,1.536314,53
REST,0.874487,327
GraphQL,1.470295,54
REST,1.006705,323
GraphQL,1.297421,53
REST,1.058350,321
GraphQL,1.339657,50
REST,0.955427,329
GraphQL,1.466058,57
REST,0.974291,328
GraphQL,1.413001,56
REST,1.115579,322
GraphQL,1.414635,53
REST,0.778359,329
GraphQL,1.529209,57
REST,0.919053,328
GraphQL,1.207278,56
REST,0.851258,327
GraphQL,1.523223,52
REST,0.848805,320
GraphQL,1.271284,52
REST,1.040991,327
GraphQL,1.620130,52
REST,0.885399,325
GraphQL,1.424533,55
REST,0.983461,328
GraphQL,1.523794,55
REST,1.068089,327
GraphQL,1.189259,52
REST,0.831285,331
GraphQL,1.217328,57
REST,0.986496,322
GraphQL,1.199413,53
REST,0.844505,329
GraphQL,1.781236,57
REST,0.978090,330
GraphQL,1.236872,53
REST,1.082730,325
GraphQL,1.240232,57
REST,0.845179,323
GraphQL,1.441712,53
REST,0.841045,330
GraphQL,1.136476,57
REST,0.908235,322
GraphQL,1.479378,53
REST,1.065998,321
GraphQL,1.369418,50
REST,1.287242,325
GraphQL,2.180310,51
REST,1.150169,324
GraphQL,1.575012,52
REST,1.085436,325
GraphQL,1.418863,55
REST,0.839104,321
GraphQL,1.106246,50
REST,0.824657,322
GraphQL,1.802566,53
REST,1.081874,329
GraphQL,1.355381,56
REST,1.050990,332
GraphQL,1.427816,57
REST,0.898966,331
GraphQL,1.408549,57
REST,0.915217,327
GraphQL,1.303320,52
REST,1.133775,328
GraphQL,1.465515,56
REST,1.036008,326
GraphQL,2.188508,57
REST,1.046958,325
GraphQL,1.365868,55
REST,1.123956,327
GraphQL,1.853539,52
REST,0.933693,324
GraphQL,1.737737,52
REST,0.992675,327
GraphQL,1.280185,54
REST,1.777775,323
GraphQL,2.311031,53
REST,1.672082,325
GraphQL,1.932364,51
REST,1.550766,321
GraphQL,2.088277,50
REST,1.004312,328
GraphQL,1.829803,56
REST,0.935155,330
GraphQL,1.255436,56
REST,1.328625,326
GraphQL,1.480708,54
REST,1.080924,327
GraphQL,1.437763,54
REST,1.361474,324
GraphQL,2.222313,52
REST,1.845573,330
GraphQL,2.434809,53
REST,1.487541,325
GraphQL,1.951862,53
REST,1.200457,320
GraphQL,1.555730,53
REST,1.157681,328
GraphQL,1.802713,53
REST,1.178489,328
GraphQL,1.984931,56
REST,1.093498,323
GraphQL,1.269769,53
REST,1.098136,324
GraphQL,1.329880,55
REST,0.958480,320
GraphQL,1.453510,53
REST,1.082427,325
GraphQL,1.336082,55
REST,1.054042,324
GraphQL,1.365186,53
REST,1.175715,327
GraphQL,1.674658,54
REST,0.958610,326
GraphQL,1.442504,53
REST,0.983669,323
GraphQL,1.609783,53
REST,0.903455,329
GraphQL,1.240669,57
REST,0.940064,322
GraphQL,1.332093,53
REST,0.877975,328
GraphQL,2.210651,54
REST,1.106392,326
GraphQL,1.367130,57
REST,0.984400,325
GraphQL,1.247551,55
REST,0.992785,325
GraphQL,1.366548,52
REST,0.850433,326
GraphQL,1.278162,54
REST,0.952398,327
GraphQL,1.159148,53
REST,0.919451,326
GraphQL,1.445955,57
REST,1.030909,327
GraphQL,1.296045,59
REST,0.869646,327
GraphQL,1.376843,55
REST,0.827140,328
GraphQL,1.470743,56
REST,1.085463,322
GraphQL,1.241035,53
REST,0.909938,328
GraphQL,1.680645,56
REST,0.944042,326
GraphQL,1.329358,53
REST,0.949964,327
GraphQL,1.390776,56
REST,0.939394,325
GraphQL,1.087246,53
REST,0.950666,329
GraphQL,1.274133,55
REST,0.974891,331
GraphQL,1.665902,57
REST,1.171477,328
GraphQL,1.350727,54
REST,1.192216,324
GraphQL,1.506235,55
REST,1.002063,324
GraphQL,1.467050,52
REST,0.946367,328
GraphQL,1.181786,56
REST,0.988918,325
GraphQL,1.598241,53
REST,1.158039,327
GraphQL,1.626651,53
REST,1.028594,325
GraphQL,1.250508,55
REST,0.876233,326
GraphQL,1.854361,54
REST,0.954542,325
GraphQL,1.614423,55
REST,1.068149,329
GraphQL,1.340740,57
REST,1.060124,325
GraphQL,1.993314,55
REST,2.042891,327
GraphQL,2.457201,54
REST,1.880951,330
GraphQL,2.734100,56
REST,1.436392,327
GraphQL,1.967908,52
REST,1.319670,326
GraphQL,2.940474,54
REST,2.104417,328
GraphQL,2.031478,56
REST,1.232243,326
GraphQL,1.548517,54
REST,1.086393,330
GraphQL,1.680187,56
REST,1.168372,324
GraphQL,1.450139,52
REST,1.169172,325
GraphQL,1.683734,53
REST,0.910890,328
GraphQL,1.279171,53
REST,0.944584,323
GraphQL,1.439769,53
REST,0.909647,325
GraphQL,1.197286,57
REST,0.930457,328
GraphQL,1.319318,54
REST,0.844523,323
GraphQL,4.258721,53
REST,1.072868,328
GraphQL,1.667974,56
REST,1.020188,329
GraphQL,1.298268,56
REST,1.035176,323
GraphQL,1.661251,53
REST,0.839433,325
GraphQL,1.328081,55
REST,1.088158,321
GraphQL,1.374424,50
REST,1.724733,329
GraphQL,1.939573,57
REST,1.207134,326
GraphQL,1.910658,57
REST,1.281827,333
GraphQL,2.179461,58
REST,1.434454,327
GraphQL,1.792392,53
REST,1.293554,325
GraphQL,1.825285,55
REST,1.226562,320
GraphQL,1.684887,52
REST,1.025037,329
GraphQL,1.834001,52
REST,1.279342,332
GraphQL,1.882835,57
REST,1.419540,327
GraphQL,1.406725,55
REST,0.931017,333
GraphQL,1.500004,58
REST,1.048422,328
GraphQL,1.229617,54
REST,1.064411,327
GraphQL,1.327845,54
REST,0.884969,327
GraphQL,1.613400,56
REST,1.124236,329
GraphQL,1.274884,57
REST,1.013704,324
GraphQL,1.259414,53
REST,0.889989,326
GraphQL,1.295453,57
REST,1.232242,328
GraphQL,1.365197,53
REST,0.866826,324
GraphQL,1.298449,53
REST,0.854091,320
GraphQL,1.318787,52
REST,1.461741,327
GraphQL,2.054493,54
REST,1.540381,325
GraphQL,2.349946,55
REST,1.677838,322
GraphQL,2.188717,53
REST,1.525934,331
GraphQL,2.167738,57
REST,1.570198,326
GraphQL,2.650430,53
REST,1.416313,327
GraphQL,2.068579,52
REST,1.417295,328
GraphQL,1.976913,54
REST,1.885631,329
GraphQL,1.953279,57
REST,1.383191,324
GraphQL,1.548236,53
REST,1.079501,320
GraphQL,1.943120,53
REST,1.267736,325
GraphQL,1.729502,55
REST,1.118315,330
GraphQL,1.656282,56
REST,1.093709,325
GraphQL,1.639309,53
REST,0.920528,325
GraphQL,1.926578,55
REST,1.089490,325
GraphQL,1.387860,55
REST,1.278596,324
GraphQL,1.475728,53
REST,1.054343,324
GraphQL,1.837950,52
REST,0.925998,332
GraphQL,1.491442,57
REST,1.256291,325
GraphQL,1.567598,55
REST,1.094535,329
GraphQL,1.442875,57
REST,1.215230,327
GraphQL,2.163821,55
REST,1.681065,326
GraphQL,3.142721,54
REST,2.242061,322
GraphQL,2.016829,53
REST,1.383692,333
GraphQL,2.434428,58
REST,1.817249,333
GraphQL,2.594813,58
REST,1.628288,326
GraphQL,2.153852,53
REST,1.148583,327
GraphQL,1.584204,55
REST,1.358554,327
GraphQL,1.669577,54
REST,1.146048,320
GraphQL,1.395304,53
REST,0.857026,328
GraphQL,1.807018,53
REST,1.316929,328
GraphQL,1.989679,56
REST,1.392699,322
GraphQL,1.629451,53
REST,1.398960,327
GraphQL,1.856234,54
REST,1.631926,327
GraphQL,1.679901,52
REST,1.122503,329
GraphQL,2.263351,57
REST,1.032942,326
GraphQL,1.617167,55
REST,1.811418,327
GraphQL,1.575608,59
REST,1.173017,326
GraphQL,1.676856,54
REST,1.044619,326
GraphQL,1.874464,54
REST,1.111321,329
GraphQL,1.567162,56
REST,1.386493,327
GraphQL,1.497805,53
REST,1.039083,330
GraphQL,1.659409,56
REST,1.350380,324
GraphQL,2.005950,55
REST,1.441682,323
GraphQL,1.576089,53
REST,1.375135,321
GraphQL,2.034284,50
REST,1.601202,325
GraphQL,2.484845,55
REST,1.342603,325
GraphQL,1.870139,53
REST,1.782182,329
GraphQL,2.717498,52
REST,1.734571,324
GraphQL,2.768536,52
REST,1.809534,325
GraphQL,2.043796,52
REST,1.383722,329
GraphQL,2.332444,57
REST,1.196335,330
GraphQL,2.032259,57
REST,1.210011,326
GraphQL,2.053701,55
REST,1.229457,326
GraphQL,1.554448,57
REST,1.299134,321
GraphQL,1.519711,50
REST,0.930166,327
GraphQL,1.847117,56
REST,0.926589,322
GraphQL,1.275325,53
REST,1.231860,329
GraphQL,1.513845,57
REST,1.021721,329
GraphQL,1.991392,57
REST,1.012878,326
GraphQL,1.295363,54
REST,1.453826,320
GraphQL,1.508498,52
REST,0.948148,326
GraphQL,1.410418,57
REST,0.946076,333
GraphQL,1.409822,58
REST,0.812862,331
GraphQL,1.602169,57
REST,0.912782,324
GraphQL,1.337864,53
REST,1.010349,327
GraphQL,1.332194,59
REST,1.333887,325
GraphQL,2.210030,55
REST,1.240891,327
GraphQL,1.810737,56
REST,0.989239,327
GraphQL,1.326011,59
REST,1.124297,321
GraphQL,1.565448,50
REST,1.127572,325
GraphQL,1.621716,55
REST,1.085893,327
GraphQL,1.380055,56
REST,1.248814,324
GraphQL,1.438327,53
REST,1.018716,325
GraphQL,1.922022,57
REST,1.065575,330
GraphQL,2.162990,56
REST,1.034515,320
GraphQL,1.651913,52
REST,1.072688,328
GraphQL,1.537406,53
REST,1.047200,321
GraphQL,2.140131,50
REST,1.096042,328
GraphQL,1.537035,54
REST,1.032863,329
GraphQL,1.656017,57
REST,1.012884,322
GraphQL,1.610725,53
REST,1.042460,326
GraphQL,1.834172,54
REST,0.858950,320
GraphQL,1.130092,53
REST,0.792231,324
GraphQL,1.408160,52
REST,0.788133,332
GraphQL,1.087196,57
REST,0.970706,326
GraphQL,1.239667,53
REST,1.055895,324
GraphQL,1.237713,52
REST,1.148037,327
GraphQL,1.443571,54
REST,0.754163,320
GraphQL,1.474487,53
REST,0.788265,325
GraphQL,1.176596,53
REST,1.053010,325
GraphQL,1.216121,52
REST,0.903155,325
GraphQL,1.340560,55
REST,1.339958,324
GraphQL,1.246270,52
REST,0.788626,330
GraphQL,1.162109,56
REST,0.738219,333
GraphQL,1.005549,58
REST,0.844632,325
GraphQL,1.184030,53
REST,0.810277,327
GraphQL,1.003616,52
REST,0.896412,329
GraphQL,0.997835,57
REST,0.694256,322
GraphQL,1.138694,53
REST,1.069648,325
GraphQL,1.251589,53
REST,0.768467,323
GraphQL,1.023434,53
REST,0.862176,328
GraphQL,1.078669,56
REST,0.722931,331
GraphQL,1.192036,57
REST,0.861515,325
GraphQL,1.148773,53
REST,0.697322,333
GraphQL,0.927911,58
REST,0.766153,327
GraphQL,0.967047,52
REST,0.913054,325
GraphQL,1.175434,55
REST,0.902162,329
GraphQL,1.112936,56
